Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
random,0.1,100,25,0.007992388012769051,0.2352880773981779,853.1183383556797
random,0.2,100,25,0.007992388012769051,0.23504014834660863,1585.2022926873933
random,0.3,100,25,0.007992388012769051,0.258785241332831,2156.0219386777835
random,0.4,100,25,0.007992388012769051,0.241399886128781,3051.425510502021
random,0.5,100,25,0.007992388012769051,0.25743160707776647,3537.134333214116
random,0.6,100,25,0.007992388012769051,0.26682561928017373,4021.4509320960574
random,0.7,100,25,0.007992388012769051,0.26829991489062405,4758.194486468456
random,0.8,100,25,0.007992388012769051,0.27027613534454326,5335.321728335938
random,0.1,100,50,0.007972120651149137,0.17171699178055339,1770.1692605481428
random,0.2,100,50,0.007972120651149137,0.23288434130769597,2393.394862973276
random,0.3,100,50,0.007972120651149137,0.19073761536960493,4415.292045775619
random,0.4,100,50,0.007972120651149137,0.12141973037580805,9832.357020413918
random,0.5,100,50,0.007972120651149137,0.13221087176333401,11184.440981705979
random,0.6,100,50,0.007972120651149137,0.1406582104646835,12325.33033030539
random,0.7,100,50,0.007972120651149137,0.1526339548600602,12869.698735698543
random,0.8,100,50,0.007972120651149137,0.16238539621626924,13658.548551799813
random,0.1,100,75,0.007995534780650921,0.24944148851220774,2105.607937906077
random,0.2,100,75,0.007995534780650921,0.1190002098782967,6881.115044823195
random,0.3,100,75,0.007995534780650921,0.10623329005081078,11371.105971130437
random,0.4,100,75,0.007995534780650921,0.10119695930436451,15544.28334810347
random,0.5,100,75,0.007995534780650921,0.1054997344089717,18476.04796312103
random,0.6,100,75,0.007995534780650921,0.11770706668923708,19664.376265324747
random,0.7,100,75,0.007995534780650921,0.13110281594948872,20413.77635436581
random,0.8,100,75,0.007995534780650921,0.14328320880523202,21096.41394185045
random,0.1,100,100,0.007972778879646859,0.22809510922846588,3425.297807618121
random,0.2,100,100,0.007972778879646859,0.26068891702396896,5019.745774345356
random,0.3,100,100,0.007972778879646859,0.2824157579872921,6273.0111086151155
random,0.4,100,100,0.007972778879646859,0.298308881838534,7488.914139366422
random,0.5,100,100,0.007972778879646859,0.30657429769173006,8770.320624425618
random,0.6,100,100,0.007972778879646859,0.2705701220686352,11832.351881246908
random,0.7,100,100,0.007972778879646859,0.20988041278270708,16977.22557192223
random,0.8,100,100,0.007972778879646859,0.16565516690149823,23826.233176573383
random,0.1,200,25,0.005086936924777157,0.33106195887445905,752.6217471560105
random,0.2,200,25,0.005086936924777157,0.34114007101429694,1409.8194067085537
